Hello: G:\ML Data\Exam\Signature Verification\Codes
Training Epoch 1 --- Training Accuracy:   0.0%, Validation Accuracy:   0.0%,  Validation Loss: 3.350
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.157
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.366
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.397
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.158
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.363
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.397
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.158
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.362
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.397
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.158
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.357
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.394
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.161
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.352
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.396
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.164
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.356
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.393
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.166
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.345
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.396
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.167
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.349
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.395
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.169
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.341
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.400
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.172
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.344
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.399
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.174
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.339
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.402
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.176
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.344
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.403
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.177
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.333
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.407
Training Epoch 64 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.180
Training Epoch 65 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.340
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.408
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.180
Training Epoch 68 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 69 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.410
Training Epoch 70 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.182
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.411
Training Epoch 73 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.184
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.334
Training Epoch 75 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.414
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.185
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.414
Training Epoch 79 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.186
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.416
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.188
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.417
Training Epoch 85 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.189
Training Epoch 86 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.339
Training Epoch 87 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.419
Training Epoch 88 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.190
Training Epoch 89 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.334
Training Epoch 90 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.421
Training Epoch 91 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.192
Training Epoch 92 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 93 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.422
Training Epoch 94 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.193
Training Epoch 95 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.339
Training Epoch 96 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.424
Training Epoch 97 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.193
Training Epoch 98 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 99 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.426
Training Epoch 100 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.195
Training Epoch 101 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 102 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.427
Training Epoch 103 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.196
Training Epoch 104 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 105 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.428
Training Epoch 106 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.196
Training Epoch 107 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 108 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.430
Training Epoch 109 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.198
Training Epoch 110 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 111 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.431
Training Epoch 112 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.198
Training Epoch 113 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 114 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.433
Training Epoch 115 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.199
Training Epoch 116 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.334
Training Epoch 117 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.434
Training Epoch 118 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.200
Training Epoch 119 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 120 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.436
Training Epoch 121 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.201
Training Epoch 122 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 123 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.437
Training Epoch 124 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.202
Training Epoch 125 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 126 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.438
Training Epoch 127 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.202
Training Epoch 128 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 129 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.439
Training Epoch 130 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.203
Training Epoch 131 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 132 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.440
Training Epoch 133 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.204
Training Epoch 134 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 135 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.442
Training Epoch 136 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.204
Training Epoch 137 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 138 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.443
Training Epoch 139 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.205
Training Epoch 140 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 141 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.444
Training Epoch 142 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.206
Training Epoch 143 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 144 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.445
Training Epoch 145 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.206
Training Epoch 146 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 147 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.446
Training Epoch 148 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.207
Training Epoch 149 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 150 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.448
Training Epoch 151 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.208
Training Epoch 152 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 153 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.448
Training Epoch 154 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.208
Training Epoch 155 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 156 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.449
Training Epoch 157 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.209
Training Epoch 158 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 159 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.450
Training Epoch 160 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.209
Training Epoch 161 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 162 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.451
Training Epoch 163 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.210
Training Epoch 164 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 165 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.452
Training Epoch 166 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.210
Training Epoch 167 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 168 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.453
Training Epoch 169 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.211
Training Epoch 170 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.336
Training Epoch 171 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.455
Training Epoch 172 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.211
Training Epoch 173 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 174 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.455
Training Epoch 175 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.212
Training Epoch 176 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 177 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.456
Training Epoch 178 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.213
Training Epoch 179 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.338
Training Epoch 180 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.457
Training Epoch 181 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.213
Training Epoch 182 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.335
Training Epoch 183 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.458
Training Epoch 184 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.214
Training Epoch 185 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 186 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.459
Training Epoch 187 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.214
Training Epoch 188 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.337
Training Epoch 189 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.460
Training Epoch 190 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.215
